time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.000000,-300.000000,-1100.174537,-299.999996,0.000000,-1.430511,0.292969,-0.000004,1.800537,-0.737915,-1.999893
0.002000,-300.000000,-1100.174789,-299.999967,0.000000,-7.581711,0.878906,-0.000033,1.800537,-1.114014,-1.220273
0.004000,-300.000000,-1100.174308,-300.000016,0.000000,14.448166,-1.464844,0.000016,2.349854,-0.975952,-2.313435
0.006000,-300.000000,-1100.174870,-299.999986,0.000000,-16.880035,0.878906,-0.000014,2.349854,-0.828369,-1.245696
0.008000,-300.000000,-1100.174403,-300.000006,0.000000,14.019012,-0.585938,0.000006,2.282715,-1.209229,-1.974470
0.010000,-300.000000,-1100.174632,-299.999996,0.000000,-6.866455,0.292969,-0.000004,2.282715,-0.714111,-1.813462
0.012000,-300.000000,-1100.174713,-299.999996,0.000000,-2.431870,0.000000,-0.000004,1.666260,-1.180664,-1.347385
0.014000,-300.000000,-1100.174351,-300.000025,0.000000,10.871887,-0.878906,0.000025,1.666260,-0.890259,-2.288013
0.016000,-300.000000,-1100.174885,-299.999986,0.000000,-16.021729,1.171875,-0.000014,1.208496,-0.909302,-1.160955
0.018000,-300.000000,-1100.174346,-300.000016,0.000000,16.164780,-0.878906,0.000016,1.208496,-1.161621,-2.135478
0.020000,-300.000000,-1100.174727,-299.999996,0.000000,-11.444092,0.585938,-0.000004,1.428223,-0.714111,-1.618557
0.022000,-300.000000,-1100.174618,-299.999996,0.000000,3.290176,0.000000,-0.000004,1.428223,-1.218750,-1.525342
0.024000,-300.000000,-1100.174417,-300.000016,0.000000,6.008148,-0.585938,0.000016,2.075195,-0.814087,-2.203271
0.026000,-300.000000,-1100.174866,-299.999986,0.000000,-13.446808,0.878906,-0.000014,2.075195,-0.999756,-1.144006
0.028000,-300.000000,-1100.174308,-300.000006,0.000000,16.736984,-0.585938,0.000006,2.416992,-1.090210,-2.254116
0.030000,-300.000000,-1100.174804,-299.999986,0.000000,-14.877319,0.585938,-0.000014,2.416992,-0.742676,-1.432126
0.032000,-300.000000,-1100.174518,-299.999996,0.000000,8.583069,-0.292969,-0.000004,2.075195,-1.237793,-1.720247
0.034000,-300.000000,-1100.174508,-299.999996,0.000000,0.286102,0.000000,-0.000004,2.075195,-0.752197,-2.050737
0.036000,-300.000000,-1100.174813,-299.999977,0.000000,-9.155273,0.585938,-0.000023,1.422119,-1.090210,-1.203325
0.038000,-300.000000,-1100.174308,-300.000016,0.000000,15.163422,-1.171875,0.000016,1.422119,-1.004517,-2.313435
0.040000,-300.000000,-1100.174861,-299.999996,0.000000,-16.593933,0.585938,-0.000004,1.208496,-0.804565,-1.279592
0.042000,-300.000000,-1100.174432,-300.000006,0.000000,12.874603,-0.292969,0.000006,1.208496,-1.223511,-1.923625
0.044000,-300.000000,-1100.174608,-300.000006,0.000000,-5.292892,0.000000,0.000006,1.672363,-0.714111,-1.872781
0.046000,-300.000000,-1100.174742,-299.999977,0.000000,-4.005432,0.878906,-0.000023,1.672363,-1.161621,-1.313489
0.048000,-300.000000,-1100.174336,-299.999996,0.000000,12.159348,-0.585938,-0.000004,2.282715,-0.918823,-2.304961
0.050000,-300.000000,-1100.174885,-299.999967,0.000000,-16.450882,0.878906,-0.000033,2.282715,-0.885498,-1.186377
